"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","6.896551724"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",2040
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",183
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2411
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7.054741712"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",9336
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",878
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11690
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","6.985996181"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",193
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",25
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",249
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","9.124087591"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",375
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",61
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",520
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","10.49913941"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",256
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",34
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",319
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","9.631728045"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",1223
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",120
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1640
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6.818181818"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",1605
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",146
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1975
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","6.883545497"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",1160
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",161
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1395
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","10.3470437"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1253
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",101
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1542
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","6.14729154"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",1688
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",148
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1998
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","6.896551724"
"76. Омская область","3_1","Количество ДТП с пострадавшими",1377
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",58
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1812
"76. Омская область","3_1","Число погибших на 100 пострадавших","3.101604278"
"77. Томская область","3_1","Количество ДТП с пострадавшими",206
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",24
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",240
"77. Томская область","3_1","Число погибших на 100 пострадавших","9.090909091"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",4552
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",488
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5799
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","7.762048672"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",535
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",78
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",673
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","10.3861518"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",416
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",36
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",560
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","6.040268456"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",579
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",112
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",676
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","14.21319797"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",1276
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",107
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1673
"80. Приморский край","3_1","Число погибших на 100 пострадавших","6.011235955"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",630
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",52
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",790
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","6.175771971"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",177
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",12
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",232
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","4.918032787"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",539
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",54
