"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",183
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",38
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",214
"60. Курганская область","3_1","Число погибших на 100 пострадавших","15,07936508"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",630
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",65
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",797
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","7,540603248"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1039
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",90
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1378
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","6,130790191"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",660
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",54
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",879
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","5,78778135"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",299
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",31
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",399
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","7,209302326"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",80
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",5
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",100
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","4,761904762"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",934
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",90
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1127
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7,395234182"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",4451
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",400
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5706
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","6,550933508"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",85
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",6
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",106
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","5,357142857"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",167
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",18
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",220
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","7,56302521"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",116
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",14
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",157
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","8,187134503"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",568
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",51
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",783
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,115107914"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",777
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",80
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",964
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7,662835249"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",540
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",70
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",670
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,459459459"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",623
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",50
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",795
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","5,917159763"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",838
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",80
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1010
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7,339449541"
"76. Омская область","3_1","Количество ДТП с пострадавшими",655
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",25
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",899
"76. Омская область","3_1","Число погибших на 100 пострадавших","2,705627706"
"77. Томская область","3_1","Количество ДТП с пострадавшими",82
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",6
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",102
"77. Томская область","3_1","Число погибших на 100 пострадавших","5,555555556"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",2117
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",217
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2692
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","7,459608113"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",226
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",27
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",277
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","8,881578947"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",199
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",19
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",295
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","6,050955414"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",241
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",49
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",270
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","15,36050157"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",629
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",56
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",812
"80. Приморский край","3_1","Число погибших на 100 пострадавших","6,451612903"
