"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",74
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",14
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",89
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","13,59223301"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",199
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",24
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",269
"52. Кировская область","3_1","Число погибших на 100 пострадавших","8,19112628"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",563
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",53
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",741
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","6,675062972"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",125
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",25
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",140
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","15,15151515"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",198
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",24
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",245
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","8,921933086"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",284
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",32
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",424
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7,01754386"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",423
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",37
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",559
"57. Самарская область","3_1","Число погибших на 100 пострадавших","6,208053691"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",290
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",39
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",369
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","9,558823529"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",107
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",10
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",150
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","6,25"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",1312
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",162
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1682
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","8,785249458"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",93
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",20
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",111
"60. Курганская область","3_1","Число погибших на 100 пострадавших","15,26717557"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",286
