Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь-март 2024 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
78. Забайкальский край,3_1,Количество ДТП с пострадавшими,148
78. Забайкальский край,3_1,"Количество лиц, погибших в результате ДТП",40
78. Забайкальский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",155
78. Забайкальский край,3_1,Число погибших на 100 пострадавших,"20,51282051"
80. Приморский край,3_1,Количество ДТП с пострадавшими,477
80. Приморский край,3_1,"Количество лиц, погибших в результате ДТП",58
80. Приморский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",621
80. Приморский край,3_1,Число погибших на 100 пострадавших,"8,54197349"
81. Хабаровский край,3_1,Количество ДТП с пострадавшими,226
81. Хабаровский край,3_1,"Количество лиц, погибших в результате ДТП",22
81. Хабаровский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",294
81. Хабаровский край,3_1,Число погибших на 100 пострадавших,"6,962025316"
82. Камчатский край,3_1,Количество ДТП с пострадавшими,79
82. Камчатский край,3_1,"Количество лиц, погибших в результате ДТП",2
82. Камчатский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",106
82. Камчатский край,3_1,Число погибших на 100 пострадавших,"1,851851852"
83. Амурская область,3_1,Количество ДТП с пострадавшими,210
83. Амурская область,3_1,"Количество лиц, погибших в результате ДТП",21
