"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",369
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","5,384615385"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",336
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",69
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",384
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","15,23178808"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",843
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",72
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1079
"80. Приморский край","3_1","Число погибших на 100 пострадавших","6,255430061"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",419
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",33
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",522
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","5,945945946"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",117
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",8
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",148
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","5,128205128"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",326
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",40
